concept_id_1,concept_id_2,relationship_id,valid_start_date,valid_end_date,invalid_reason
2000000273,2000000273,Maps to,23/03/2024,31/12/2099,
2000000273,1025532,Has system,23/03/2024,31/12/2099,
2000000273,1029636,Has property,23/03/2024,31/12/2099,
2000000273,1014532,Has time aspect,23/03/2024,31/12/2099,
2000000273,1033749,Has scale type,23/03/2024,31/12/2099,
2000000273,36210656,Is a,23/03/2024,31/12/2099,
2000000273,45876112,Is a,23/03/2024,31/12/2099,
2000000273,2000000266,Contained in panel,23/03/2024,31/12/2099,
2000000273,4188539,Has Answer,23/03/2024,31/12/2099,
2000000273,4188540,Has Answer,23/03/2024,31/12/2099,
2000000273,1016845,Has component,23/03/2024,31/12/2099,
2000000274,2000000274,Mapped from,23/03/2024,31/12/2099,
2000000274,2000000274,Maps to,23/03/2024,31/12/2099,
2000000274,1025532,Has system,23/03/2024,31/12/2099,
2000000274,1029636,Has property,23/03/2024,31/12/2099,
2000000274,1014532,Has time aspect,23/03/2024,31/12/2099,
2000000274,1033749,Has scale type,23/03/2024,31/12/2099,
2000000274,36210656,Is a,23/03/2024,31/12/2099,
2000000274,45876112,Is a,23/03/2024,31/12/2099,
2000000274,2000000266,Contained in panel,23/03/2024,31/12/2099,
2000000274,4188539,Has Answer,23/03/2024,31/12/2099,
2000000274,4188540,Has Answer,23/03/2024,31/12/2099,
2000000274,1016845,Has component,23/03/2024,31/12/2099,
2000000275,2000000275,Mapped from,23/03/2024,31/12/2099,
2000000275,2000000275,Maps to,23/03/2024,31/12/2099,
2000000275,1025532,Has system,23/03/2024,31/12/2099,
2000000275,1029636,Has property,23/03/2024,31/12/2099,
2000000275,1014532,Has time aspect,23/03/2024,31/12/2099,
2000000275,1033749,Has scale type,23/03/2024,31/12/2099,
2000000275,36210656,Is a,23/03/2024,31/12/2099,
2000000275,45876112,Is a,23/03/2024,31/12/2099,
2000000275,2000000266,Contained in panel,23/03/2024,31/12/2099,
2000000275,4188539,Has Answer,23/03/2024,31/12/2099,
2000000275,4188540,Has Answer,23/03/2024,31/12/2099,
2000000275,1016845,Has component,23/03/2024,31/12/2099,
2000000276,2000000276,Mapped from,23/03/2024,31/12/2099,
2000000276,2000000276,Maps to,23/03/2024,31/12/2099,
2000000276,1025532,Has system,23/03/2024,31/12/2099,
2000000276,1029636,Has property,23/03/2024,31/12/2099,
2000000276,1014532,Has time aspect,23/03/2024,31/12/2099,
2000000276,1033749,Has scale type,23/03/2024,31/12/2099,
2000000276,36210656,Is a,23/03/2024,31/12/2099,
2000000276,45876112,Is a,23/03/2024,31/12/2099,
2000000276,2000000266,Contained in panel,23/03/2024,31/12/2099,
2000000276,4188539,Has Answer,23/03/2024,31/12/2099,
2000000276,4188540,Has Answer,23/03/2024,31/12/2099,
2000000276,1016845,Has component,23/03/2024,31/12/2099,
2000000277,2000000277,Mapped from,23/03/2024,31/12/2099,
2000000277,2000000277,Maps to,23/03/2024,31/12/2099,
2000000277,1025532,Has system,23/03/2024,31/12/2099,
2000000277,1029636,Has property,23/03/2024,31/12/2099,
2000000277,1014532,Has time aspect,23/03/2024,31/12/2099,
2000000277,1033749,Has scale type,23/03/2024,31/12/2099,
2000000277,36210656,Is a,23/03/2024,31/12/2099,
2000000277,45876112,Is a,23/03/2024,31/12/2099,
2000000277,2000000266,Contained in panel,23/03/2024,31/12/2099,
2000000277,4188539,Has Answer,23/03/2024,31/12/2099,
2000000277,4188540,Has Answer,23/03/2024,31/12/2099,
2000000277,1016845,Has component,23/03/2024,31/12/2099,
2000000278,2000000278,Mapped from,23/03/2024,31/12/2099,
2000000278,2000000278,Maps to,23/03/2024,31/12/2099,
2000000278,1012735,Has property,23/03/2024,31/12/2099,
2000000278,1025532,Has system,23/03/2024,31/12/2099,
2000000278,1014532,Has time aspect,23/03/2024,31/12/2099,
2000000278,1033751,Has scale type,23/03/2024,31/12/2099,
2000000278,2000000266,Contained in panel,23/03/2024,31/12/2099,
2000000278,36210656,Is a,23/03/2024,31/12/2099,
2000000278,1008021,Has method,23/03/2024,31/12/2099,
2000000278,1992267,Has component,23/03/2024,31/12/2099,
2000000282,2000000282,Mapped from,23/03/2024,31/12/2099,
2000000282,2000000282,Maps to,23/03/2024,31/12/2099,
2000000566,2000000566,Mapped from,23/03/2024,31/12/2099,
2000000566,2000000566,Maps to,23/03/2024,31/12/2099,
2000000567,2000000567,Mapped from,23/03/2024,31/12/2099,
2000000567,2000000567,Maps to,23/03/2024,31/12/2099,
2000000570,2000000570,Mapped from,23/03/2024,31/12/2099,
2000000570,2000000570,Maps to,23/03/2024,31/12/2099,
2000000571,2000000571,Mapped from,23/03/2024,31/12/2099,
2000000571,2000000571,Maps to,23/03/2024,31/12/2099,
2000000572,2000000572,Mapped from,23/03/2024,31/12/2099,
2000000572,2000000572,Maps to,23/03/2024,31/12/2099,
2000000573,2000000573,Mapped from,23/03/2024,31/12/2099,
2000000573,2000000573,Maps to,23/03/2024,31/12/2099,
2000000574,2000000574,Mapped from,23/03/2024,31/12/2099,
2000000574,2000000574,Maps to,23/03/2024,31/12/2099,
2000000575,2000000575,Mapped from,23/03/2024,31/12/2099,
2000000575,2000000575,Maps to,23/03/2024,31/12/2099,
2000000576,2000000576,Mapped from,23/03/2024,31/12/2099,
2000000576,2000000576,Maps to,23/03/2024,31/12/2099,
2000000577,2000000577,Mapped from,23/03/2024,31/12/2099,
2000000577,2000000577,Maps to,23/03/2024,31/12/2099,
2000000578,2000000578,Mapped from,23/03/2024,31/12/2099,
2000000578,2000000578,Maps to,23/03/2024,31/12/2099,
2000000579,2000000579,Mapped from,23/03/2024,31/12/2099,
2000000579,2000000579,Maps to,23/03/2024,31/12/2099,
2000000580,2000000580,Mapped from,23/03/2024,31/12/2099,
2000000580,2000000580,Maps to,23/03/2024,31/12/2099,
2000000581,2000000581,Mapped from,23/03/2024,31/12/2099,
2000000581,2000000581,Maps to,23/03/2024,31/12/2099,
2000000582,2000000582,Mapped from,23/03/2024,31/12/2099,
2000000582,2000000582,Maps to,23/03/2024,31/12/2099,
2000000583,2000000583,Mapped from,23/03/2024,31/12/2099,
2000000583,2000000583,Maps to,23/03/2024,31/12/2099,
